"","Country","Rad2013","Rad2014","Rad2015","GDP2013","GDP2014","GDP2015","Veh2013","Veh2014","Veh2015","Elec2013","Elec2014"
"61","Kuwait",224.2709372,225.5064518,214.1455224,48463.15167,43332.40625,29300.57558,42.15723731,40.57956032,36.9464931,0.013892432,0.014290933
"62","Kyrgyzstan",75.91702217,56.77456945,65.25784791,1282.437162,1279.769783,1103.215352,0.839219526,0.822551624,0.805774719,0.001899986,0.001905331
"63","Laos",21.90187364,24.50091938,33.76304373,1700.525305,1754.896196,1818.441373,1.367784273,2.197539354,2.146420264,0.000449469,0.000589299
"64","Latvia",169.4812851,64.2532634,149.3469602,15033.15295,15710.16771,13648.54756,7.194505544,8.155856558,9.012656436,0.003378387,0.003426543
"65","Lebanon",35.8037371,40.87902274,41.81503101,8388.973293,8148.639167,8047.645086,7.092882718,7.180917789,6.956381437,0.002907499,0.002808302
"66","Liberia",32.82070535,16.26614844,25.50518071,453.339457,457.8585865,455.8739345,0.100146913,0.090980345,0.08882103,6.5e-05,6.77e-05
"67","Libya",410.4714868,342.1825331,444.7313169,10453.97044,6573.386737,4643.305762,7.181629965,7.189665288,8.616792903,0.001977696,0.001479176
"68","Lithuania",117.5820041,43.34859859,78.23554334,15692.01291,16489.72898,14147.04938,5.945858405,6.492707086,8.026598868,0.00327739,0.003376569
"69","Luxemburg",146.6339075,123.7078007,113.0783112,113726.639,116612.8842,101449.9682,93.65061837,97.64541567,90.59008981,0.011319935,0.011067175
"70","Macedonia",50.14226484,43.21204456,53.51672614,5219.535681,5453.281275,4852.657848,1.350997301,1.686239085,1.876395569,0.003414134,0.003335381
"71","Madagascar",16.32764376,15.89799604,20.28669644,462.4600105,452.8103949,401.836006,0.095966958,0.110301699,0.094902537,5.63e-05,5.7e-05
"72","Malawi",5.503045498,5.606264248,5.147708727,335.5235807,362.6930683,371.9857478,0.095119704,0.101825351,0.110367377,0.000106268,0.000115475
"73","Malaysia",52.12847813,49.97525751,52.27089889,10971.41558,11305.9001,9768.32686,22.25639642,22.28904645,21.97994943,0.004257699,0.004372545
"74","Malta",80.40881112,80.92164993,78.75353845,24056.61245,25125.09562,22596.18177,14.90880404,16.45903726,18.38254898,0.004634295,0.00470793
"75","Mauritius",20.22717937,19.89160416,21.00181767,9637.00265,10153.93822,9252.110724,8.103901552,8.406466952,8.474542711,0.002035843,0.002050639
"76","Mexico",51.78528653,48.8748358,54.08242114,10198.6473,10353.44798,9005.024265,8.893979558,9.055321266,10.64145442,0.001887227,0.001901236
"77","Moldova",24.6006397,15.09449029,21.02331078,2243.979662,2244.763762,1848.061804,1.686072424,1.15285217,0.028136123,0.001281505,0.001078429
"78","Mongolia",868.25146,772.4995369,601.7378733,4400.614515,4201.737722,3967.829386,0.769452996,0.549852554,0.337936707,0.00180713,0.001919893
"79","Morocco",36.16998049,45.48727237,44.77165319,3141.725373,3186.60876,2878.201342,3.609725091,3.598339363,3.837101528,0.00083695,0.000851235
"80","Myanmar",16.14596408,19.17442879,24.54203797,1134.928443,1227.137217,1161.488158,0.056621049,0.033684425,0.03339694,0.000175876,0.000203011
"81","Nepal",5.211212467,6.563649035,6.94227687,696.732684,703.1825707,743.3229657,0.197593093,0.294590286,0.206918078,0.000132222,0.000139981
"82","Netherlands",119.6605157,137.9421225,124.6868306,51574.48942,52157.40687,44299.76809,28.6303042,26.7029817,30.77184687,0.006514678,0.006386248
"83","New Zealand",118.6477117,72.77823359,158.4028548,42928.09633,44380.42658,37807.96728,25.50460368,28.05242034,28.96142046,0.008880021,0.008843471
"84","Nicaragua",24.10907074,17.20859613,21.60692348,1829.024989,1960.490908,2086.895003,1.564169814,1.563042232,1.841489818,0.000577347,0.000559712
"85","Nigeria",9.368618394,6.108437679,11.58513321,2979.84415,3203.244296,2640.290739,0.300897165,0.30370306,0.144894159,0.000133376,0.000134888
"86","Norway",311.4203554,189.863335,113.7038073,102910.435,97005.49856,74400.36978,35.44396897,35.0914656,36.58754627,0.023322124,0.022639009
"87","Oman",311.5688298,302.590121,306.7496767,20204.92954,19129.84422,15550.67625,55.03067384,49.196694,37.32289717,0.005834019,0.005942555
"88","Pakistan",10.39581927,9.538673353,10.62301622,1276.092448,1320.55355,1434.696665,0.78247105,0.793766742,1.21576368,0.000455596,0.000445697
"89","Panama",52.77265605,34.40356713,51.94748674,11786.63317,12712.43132,13268.11375,12.69154578,13.496969,14.32883167,0.001961241,0.002006627
"90","Paraguay",68.91738504,98.06764361,119.7013521,4479.955052,4712.870205,4080.951448,4.732688914,4.731005699,4.247548961,0.001379594,0.001479126
"91","Peru",59.62285339,64.28006608,75.23156536,6580.979053,6490.18119,6027.125855,6.58671564,6.040102866,5.497810953,0.001221757,0.001258319
"92","Philippines",8.985230509,5.95868273,8.244409016,2786.014701,2873.088189,2904.202082,2.17234149,2.367864655,2.866045024,0.000657027,0.000670343
"93","Poland",120.1043496,65.77334605,75.28950254,13780.54911,14341.85993,12554.54755,9.284836492,10.32512723,11.38012522,0.003681196,0.003727392
"94","Portugal",120.1500005,124.5484355,138.8535971,21618.73534,22124.36722,19222.15008,12.11489204,16.5710963,20.64559544,0.00441282,0.004426704
"95","Qatar",421.342529,460.6441336,386.1807185,94574.25505,94944.08559,73653.39443,40.4513803,42.77035908,38.65157883,0.01448108,0.015666879
"96","Romania",52.58007116,36.49569373,50.87092634,9585.266593,10020.27733,8972.922518,3.553697507,5.039736091,6.080508001,0.002332683,0.002418312
"97","Russia",413.8756635,318.1654855,161.4943986,15552.05099,14051.59912,9092.580536,20.89550935,18.02533562,9.978916119,0.006139811,0.006194813
"98","Saudi Arabia",264.4651009,263.5546643,330.4108778,24646.02087,24406.47646,20481.74532,24.50245854,26.81426492,26.31864963,0.008178127,0.008806187
"99","Senegal",16.23502808,12.39463578,13.98778381,1041.167179,1041.717461,899.5798795,0.421910042,0.463450236,0.38336277,0.000190805,0.000203415
"100","Serbia",81.24668836,68.39910268,88.90772609,6353.826383,6200.173221,5235.142207,3.740857929,3.898703274,3.521996346,0.004046818,0.003941805
"101","Singapore",34.20604901,37.62200798,32.03684479,55617.6125,56007.28821,52888.74467,6.317832286,8.672101188,14.20216289,0.008162804,0.008318932
"102","Slovakia",53.51486582,43.16038924,46.69831583,18191.61279,18595.15111,16088.27759,13.89221141,15.12554144,16.60954453,0.004700385,0.004786688
"103","Slovenia",61.25091204,49.97381158,55.34633738,23150.31799,24020.67286,20726.53989,29.02105048,30.03617882,33.42042323,0.006282158,0.006251031
"104","South Africa",46.44974746,46.23177121,53.24687046,6910.665338,6498.589,5723.973357,12.23383888,11.92231097,11.24060446,0.003975671,0.00391866
"105","South Korea",43.58214707,40.36950295,45.16091368,25997.88105,27989.35399,27221.52405,30.736244,32.95790661,36.22862615,0.009714287,0.009817314
"106","Spain",103.100737,105.3325107,104.6291924,29370.66387,29718.50022,25831.58231,17.65227811,22.15495825,27.51199102,0.005078145,0.005045035
"107","Sri Lanka",7.143350017,5.782148187,7.3708385,3611.341987,3852.742066,3926.174396,0.583118713,0.746232728,0.810836593,0.000508701,0.000507074
"108","Sudan",26.44004902,16.87950127,31.05974065,1871.108979,2087.700544,2414.723601,0.064909615,0.076238351,0.089474601,0.000211389,0.000252681
